code;plan;theme;titre;dispoCode;dispoTitre;public;objectifs;contenu;duree;effectif;abonnement
100566;ENS; ACTIONS CULTURELLES;Webinaire informatif certification complémentaire en Arts;25A0090303;ACL_03 @ WEBINAIRE INFORMATIF CERTIFICATIONS ARTS;Enseignants prioritairement du 2nd degré. Toutes disciplines concernées.;Les certifications complémentaires en arts (histoire de l'art, danse, théâtre, cinéma audiovisuel et arts du cirque) permettent d'attester de compétences dans ce domaine et offre l'opportunité d'en acquérir d'autres. Prenant appui sur les programmes mobilisant des expériences professionnelles et convoquant une expertise scientifique plus ou moins étayée et étoffée, il s'agit d'accompagner les préparationnaires dans leur démarche qu'il s'agisse de la construction de progressive du rapport dactylographié et de l'épreuve orale. Plusieurs points seront abordés et notamment des réflexions didactiques et pistes pédagogiques en lien avec les projets envisagés, connaissance des acteurs institutionnels et des ressources régionales.;"AUTRE CONTENU ARTS ET PATRIMOINE
Cette formation a pour objectif d'accompagner les candidats qui s'engagent dans la préparation de la certification complémentaire Arts avec cinq options : arts du cirque, cinéma et audiovisuel, danse, histoire de l'art, théâtre.
Un premier temps commun aux enseignement artistiques (octobre 2025) abordera les exigences et attendues de cette épreuve certificative.";2;60;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/100566/tab/trainee/pill/individualTrainingPlan
100606;ENS; ACTIONS CULTURELLES;La Fabrique à spectacle de musiques actuelles;25A0090327;ACL_01 @ LA FABRIQUE DU SPECTACLE VIVANT;Enseignants du second degré, référents culture, professeurs documentalistes;Découvrir les rouages de la mise en place d'un concert de musiques actuelles, de sa commande à sa représentation sur scène. Utiliser les ressources culturelles et pédagogiques autour du spectacle vivant pour concevoir des actions culturelles à destination des élèves, les piloter et les animer. Découvrir un dispositif d'éducation artistique et culturelle en lien avec les musiques actuelles.;"AUTRE CONTENU ARTS ET PATRIMOINE
Durant ce stage, l'enseignant se familiarisera avec les notions élémentaires permettant de réaliser un spectacle par le biais notamment de rencontres avec les professionnels de production d'une SMAC (scène de musiques actuelles). Tout en découvrant les missions et les spécificités de l'Aéronef, ce stage permettra aux stagiaires de mettre en valeur une prestation artistique en décryptant les artifices du spectacle vivant à travers ses aspects divers (techniques, logistiques et organisationnels). Les stagiaires auront aussi l'occasion de tester et de réfléchir aux supports pédagogiques qui accompagnent la réception du spectacle vivant par les publics scolaires. Visite de la structure culturelle, découverte du dispositif EAC Aéro Teenage Tour.";4;20;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/100606/tab/trainee/pill/individualTrainingPlan
100609;ENS; ACTIONS CULTURELLES;Pratiquer autrement le musée;25A0090330;ACL_09 @ OBJECTIF 100% EAC (INTERDEGRÉ);"Les collègues du premier degré, de collège et de lycée (général et technologique) sans distinction.
L'interdisciplinarité est encouragée, c'est pourquoi toutes les matières sont susceptibles d'être concernées. Pas de pré-requis.";"Expérimenter des façons originales de pratiquer un musée, voici l'objectif de ce stage qui se déroulera au musée de Flandre de Cassel.
publics scolaires par des pratiques plus diversifiées. Favoriser la coopération entre les stagiaires pour construire un parcours sensoriel amenant à une meilleure compréhension des œuvres.";"AUTRE CONTENU ARTS ET PATRIMOINE
En présence de deux médiatrices et du professeur missionné, les stagiaires pourront explorer plusieurs ateliers leur permettant d'appréhender une œuvre autrement : laisser leur place aux cinq sens, oser la méditation, pratiquer le jeu, autant de pistes pour une pratique renouvelée du musée. En amont, une visio présentera la structure et ses collections, afin de laisser toute la place aux ateliers durant la demi-journée en présentiel.


Distanciel 1 h
En fin d'après-midi, la visio doit permettre de présenter la structure du musée de Flandre, son histoire, ses collections et ses propositions pour le public scolaire.

Présentiel 3,5 h
Un mercredi après-midi, le temps en présentiel doit permettre de réellement expérimenter d'autres pratiques du musée : construction d'un parcours sensoriel amenant à une meilleure compréhension de l'œuvre ; yoga et méditation ; pratique du jeu.";5;15;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/100609/tab/trainee/pill/individualTrainingPlan
100875;ENS; ACTIONS CULTURELLES;Sites patrimoniaux et mémoire des grands conflits mondiaux BASSIN 10;25A0090442;ACL_10 - MÉMOIRE ET EAC (INTERDEGRÉ);"Enseignants du premier et du second degré (collège - lycée général et technologique - lycée professionnel)
A périmètre restreint (Bassin 10)";Comprendre le contexte historique de la présence des cimetières du Commonwealth en France. Acquérir des méthodes pour visiter et analyser un cimetière de la CWGC avec des élèves. Développer des compétences pour interpréter les informations contenues sur les pierres tombales. Identifier le potentiel pédagogique des cimetières de proximité pour l'enseignement des guerres mondiales. Analyser la vision commémorative des pays du Commonwealth et les nationalités représentées dans leurs cimetières. Comprendre les enjeux de la construction contemporaine de cimetières militaires. Découvrir des activités pédagogiques adaptées aux programmes scolaires. Découvrir les métiers de la CWGC et leurs liens avec le parcours avenir des élèves.;"AUTRE CONTENU ARTS ET PATRIMOINE
Faire des sites de mémoire de la CWGC, commission de sépultures de guerre du Commonwealth, des lieux d'apprentissage concrets : c'est l'objectif de cette formation qui se déroulera à Beaurains et dans un cimetière militaire du secteur d'Arras. Comprendre les enjeux commémoratifs et les parcours de soldats via l'étude des tombes. Apprendre à visiter et à analyser les sites et à les utiliser comme supports d'apprentissage. Découvrir les métiers présentés au centre des visiteurs de Beaurains, offrant des perspectives pour le parcours avenir des élèves. En amont, une phase de préparation en distanciel permettra de contextualiser la visite et de présenter l'organisation de la formation.";5;25;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/100875/tab/trainee/pill/individualTrainingPlan
100876;ENS; ACTIONS CULTURELLES;Explorer les usages de l'IA dans la création artistique contemporaine : enjeux, pratiques et pédagogie;25A0090443;ACL_11 - EAC ET IA (INTERDEGRÉ);PV- Interdegré - enseignants soucieux de questionner l'usage de l'IA dans leur enseignement, aucun pré-requis;"Explorer l'usage de l'IA dans la création artistique à travers l'exposition Panorama 27 ; analyser les enjeux artistiques et sociétaux liés à l'utilisation des IA ; expérimenter les potentialités créatives de l'IA lors d'un atelier animé par un artiste de Fresnoy ; développer une posture critique et éclairée sur l'usage de l'IA en art ; identifier des pistes pédagogiques pour intégrer l'IA en classe et questionner les élèves son son utilisation ; découvrir les ressources du Fresnoy pour accompagner des projets éducatifs autour de l'IA";"AUTRE CONTENU ARTS ET PATRIMOINE
Cette formation propose d'explorer l'usage de l'IA dans l'art, d'en analyser les enjeux, d'expérimenter ses potentialités à travers un atelier et d'identifier des pistes pédagogiques pour l'intégrer en classe. Les stagiaires découvrent l'exposition Panorama 27 au Fresnoy, à Tourcoing à travers un parcours dédié à l'usage de l'IA dans la création artistique. Cette succession d'œuvres numériques invite à réfléchir aux enjeux artistiques et sociétaux liés à ces technologies émergentes. Pour approfondir cette exploration, un artiste du Fresnoy anime un atelier sur les potentialités créatives de l'IA. L'objectif est de développer une approche critique et éclairée de son utilisation en art. Enfin, l'enseignant missionné propose des pistes pédagogiques pour intégrer l'IA en classe.";6;15;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/100876/tab/trainee/pill/individualTrainingPlan
101397;ENS; ACTIONS CULTURELLES;Enseigner les CPS avec le théâtre;25A0090327;ACL_01 @ LA FABRIQUE DU SPECTACLE VIVANT;Enseignants du second degré, référents culture, professeurs documentalistes;En accompagnement des compétences du nouveau socle, le stage propose de former les enseignants à intégrer des pratiques de théâtre pour accompagner le développement des compétences psychosociales des élèves. L'empathie, le travail de groupe, la gestion des émotions sont des constituants essentiels de la création du spectacle vivant et du théâtre. Il s'agit de solliciter le corps et la parole de chacun, de favoriser l'inscription de chacun dans des processus collaboratifs pour imaginer, créer et réfléchir ensemble. La conscience de ce qu'on fait doit aller avec la conscience de soi. La bienveillance accompagnera le travail de création collective dans des pratiques de formation transférables à la classe comme à l'atelier. La réflexion sur l'évaluation trouvera également sa place.;"AUTRE CONTENU ARTS ET PATRIMOINE
Il s'agit de pratiquer le théâtre avec un artiste et une compagnie dont les choix de textes, de thématiques et de pratiques répondent aux nouvelles exigences du socle. Les exercices pratiqués en atelier permettent d'apprendre comment favoriser le développement de l'élève en tant que futur citoyen, conscient de lui-même et prenant en compte les autres dans ses démarches créatives. Les exercices pourront être réinvestis en classe ou dans les projets menés par les enseignants. La visio en amont visera à présenter la problématique choisie avec l'artiste et les axes de travail qui seront mis en oeuvre ensuite en présentiel. Elle sera aussi l'occasion de faire le point sur les textes de théâtre contemporain qui peuvent accompagner un travail avec les élèves autour des compétences psychosociales.";5;20;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/101397/tab/trainee/pill/individualTrainingPlan
101400;ENS; ACTIONS CULTURELLES;Découvrir la scène contemporaine;25A0090327;ACL_01 @ LA FABRIQUE DU SPECTACLE VIVANT;Enseignants du second degré, référents culture, professeurs documentalistes;Découvrir le travail et l'univers de création d'un grand metteur en scène contemporain par la rencontre et la pratique.;"AUTRE CONTENU ARTS ET PATRIMOINE
Rencontrer et échanger avec un metteur en scène et écrivain de théâtre en création. Assister à un temps de répétition. Pratiquer un atelier de théâtre avec l'artiste.";4;20;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/101400/tab/trainee/pill/individualTrainingPlan
101412;ENS; ACTIONS CULTURELLES;PATRIMOINE RÉGIONAL ET MONDIAL;25A0090330;ACL_09 @ OBJECTIF 100% EAC (INTERDEGRÉ);Tout public et toutes disciplines. Les professeurs des écoles primaires, de collèges et de lycées.;Faire connaître et appréhender le Patrimoine régional à l'échelle mondiale. Croiser, par la visite d'un lieu régional inscrit sur la liste du patrimoine mondial de l'UNESCO, la notion de gestion et des usages. Répondre aux compétences des programmes de l'école primaire, du collège et du lycée en utilisant le Patrimoine régional et mondial à travers la vision de projets en lien avec le Parcours éducatif. Concevoir, mettre en œuvre ces projets pour les insérer dans les programmes des différentes disciplines.;"PATRIMOINE ET RICHESSES CULTURELLES
Le patrimoine régional s'inscrit désormais à l'échelle mondiale et répond à des valeurs universelles et exceptionnelles. Comment aider les professeurs à mieux cerner la question de la patrimonialisation ? Comment s'élabore un dossier d'inscription à la liste du Patrimoine mondial de l'UNESCO ? Quels en sont les enjeux politiques, économiques et sociaux ? Entre témoignages des acteurs des biens inscrits et réflexions sur le devenir de ces biens seront abordés plusieurs patrimoines régionaux inscrits : les beffrois, le Bassin minier, le réseau Vauban. Un temps sera consacré aux activités sur le patrimoine mondial de l'UNESCO. Le stage est accessible à tous, de l'école au lycée, quelle que soit la matière enseignée, pour nourrir des projets allant de la sensibilisation à la spécialité.";5;20;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/101412/tab/trainee/pill/individualTrainingPlan
101413;ENS; ACTIONS CULTURELLES;Danser et prendre soin;25A0090330;ACL_09 @ OBJECTIF 100% EAC (INTERDEGRÉ);Ouvert à tous les enseignants du premier ou du second degré, quelle que soit la discipline.;Savoir mettre un corps (son corps) en état d'écoute. Ressentir l'écoute au sein d'un groupe et développer la confiance entre participants. Amener les participant.e.s à éprouver la rencontre grâce aux techniques d'improvisation. Favoriser l'affirmation de soi par la pratique de la danse, en appliquant des principes de bienveillance et de respect mutuel. Veiller à la notion de consentement dans un atelier de pratique artistique. Travailler en partenariat avec une structure culturelle pour mener un projet danse dans son établissement.;"AUTRE CONTENU ARTS ET PATRIMOINE
Cette formation prévoit d'observer comment la pratique de la danse invite à prendre soin des autres. En portant une attention particulière au corps, à sa posture, à ses déplacements, à l'espace, la danse permet d'entrer en relation avec le monde. Les stagiaires seront invités à explorer des techniques de relaxation pour prendre confiance et tourner le regard vers l'autre. Ils participeront à des ateliers pour transformer les gestes simples du quotidien en gestes dansés. Ils seront immergés dans le processus de création de la pièce Between de Sylvain Groud, chorégraphe et directeur du CCN de Roubaix. Ils prolongeront ces expériences sensibles en échangeant avec l'artiste et l'enseignante missionnée au Ballet du Nord, qui présenteront un projet EAC mené en établissement scolaire.";5;20;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/101413/tab/trainee/pill/individualTrainingPlan
101414;ENS; ACTIONS CULTURELLES;La Fabrique d'un spectacle lyrique;25A0090330;ACL_09 @ OBJECTIF 100% EAC (INTERDEGRÉ);Enseignants de toute discipline du premier et second degré, référents culture, professeurs documentalistes;Découverte de la physiologie de la voix. Ateliers de pratique avec la mise en œuvre d'exercices sur l'échauffement, de la voix, le travail sur le souffle et l'utilisation de sa voix dans la gestion de classe. Mise à disposition des stagiaires à l'issue de la formation d'une boîte à outils numérique. Découverte de projets EAC initiés par l'Atelier lyrique de Tourcoing autour de la voix.;"AUTRE CONTENU ARTS ET PATRIMOINE
La voix est le premier outil de travail de l'enseignant. A l'heure actuelle, un enseignant sur deux éprouve des troubles vocaux lors de sa carrière. L'Atelier Lyrique de Tourcoing vous proposera, lors de ce temps de formation, un condensé de trucs et astuces pour prévenir plutôt que guérir ses petites cordes vocales ! Cela sera aussi l'occasion de découvrir l'univers de l'Atelier Lyrique de Tourcoing via une visite de la structure culturelle et de la découverte d'une production en cours.";3;20;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/101414/tab/trainee/pill/individualTrainingPlan
